행정기관,총 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,여 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
대구광역시 서구 평리2동,"6,836","6,836",249,572,551,629,909,"1,208","1,432",909,342,34,1,"3,288","3,288",127,282,280,340,445,609,665,405,125,10,0,"3,548","3,548",122,290,271,289,464,599,767,504,217,24,1
대구광역시 서구 평리3동,"12,089","12,089",743,765,930,"1,664","1,668","1,893","2,369","1,403",578,74,2,"6,013","6,013",390,371,525,897,879,961,"1,150",615,204,21,0,"6,076","6,076",353,394,405,767,789,932,"1,219",788,374,53,2
대구광역시 서구 평리4동,"15,016","15,016",510,"1,063","1,361","1,611","1,925","2,614","3,196","1,919",707,110,0,"7,474","7,474",273,513,718,929,"1,029","1,317","1,536",871,264,24,0,"7,542","7,542",237,550,643,682,896,"1,297","1,660","1,048",443,86,0
대구광역시 서구 평리5동,"10,456","10,456","1,504",733,769,"2,602","1,704","1,207","1,097",611,207,21,1,"5,231","5,231",764,372,419,"1,310",928,577,502,267,86,6,0,"5,225","5,225",740,361,350,"1,292",776,630,595,344,121,15,1
대구광역시 서구 평리6동,"5,399","5,399",353,278,457,971,637,894,"1,026",568,188,27,0,"2,800","2,800",180,134,239,540,366,463,531,267,76,4,0,"2,599","2,599",173,144,218,431,271,431,495,301,112,23,0
대구광역시 서구 상중이동,"16,923","16,923",535,"1,399","1,569","1,632","2,073","3,011","3,595","2,207",759,140,3,"8,347","8,347",294,705,831,936,"1,076","1,492","1,702","1,008",281,22,0,"8,576","8,576",241,694,738,696,997,"1,519","1,893","1,199",478,118,3
대구광역시 서구 원대동,"9,959","9,959",477,494,863,"1,501","1,193","1,719","1,822","1,262",549,78,1,"4,981","4,981",242,235,419,865,658,900,889,544,207,22,0,"4,978","4,978",235,259,444,636,535,819,933,718,342,56,1
대구광역시 남구 이천동,"14,182","14,182",911,"1,028","1,209","2,000","2,009","2,398","1,954","1,531",960,177,5,"6,634","6,634",463,545,603,"1,022","1,001","1,148",881,597,327,46,1,"7,548","7,548",448,483,606,978,"1,008","1,250","1,073",934,633,131,4
대구광역시 남구 봉덕1동,"7,676","7,676",167,349,813,841,857,"1,386","1,498","1,064",585,113,3,"3,695","3,695",92,173,396,463,450,722,721,450,202,26,0,"3,981","3,981",75,176,417,378,407,664,777,614,383,87,3
대구광역시 남구 봉덕2동,"12,781","12,781",940,"1,039",920,"1,617","1,831","1,983","2,038","1,496",747,167,3,"6,046","6,046",497,506,477,796,896,926,922,672,299,55,0,"6,735","6,735",443,533,443,821,935,"1,057","1,116",824,448,112,3
대구광역시 남구 봉덕3동,"13,971","13,971",425,"1,050","1,355","1,350","1,714","2,411","2,564","1,913",999,188,2,"6,574","6,574",210,537,683,733,809,"1,190","1,158",812,375,67,0,"7,397","7,397",215,513,672,617,905,"1,221","1,406","1,101",624,121,2
대구광역시 남구 대명1동,"9,251","9,251",207,611,"1,139","1,020","1,079","1,561","1,743","1,268",543,78,2,"4,490","4,490",120,322,548,571,556,784,797,559,213,19,1,"4,761","4,761",87,289,591,449,523,777,946,709,330,59,1
대구광역시 남구 대명2동,"15,054","15,054",818,973,"2,503","2,815","1,885","2,119","1,870","1,319",643,108,1,"7,122","7,122",412,449,"1,100","1,533",943,"1,029",874,546,215,21,0,"7,932","7,932",406,524,"1,403","1,282",942,"1,090",996,773,428,87,1
대구광역시 남구 대명3동,"10,834","10,834",306,507,"1,483","1,496","1,168","1,711","1,902","1,476",671,112,2,"5,255","5,255",161,256,694,857,639,875,918,603,227,25,0,"5,579","5,579",145,251,789,639,529,836,984,873,444,87,2
대구광역시 남구 대명4동,"9,073","9,073",202,444,"1,070",854,894,"1,496","1,977","1,404",635,95,2,"4,288","4,288",108,210,481,487,481,744,931,606,218,22,0,"4,785","4,785",94,234,589,367,413,752,"1,046",798,417,73,2
대구광역시 남구 대명5동,"8,678","8,678",517,519,"1,494","1,438","1,054","1,401","1,104",731,355,64,1,"4,097","4,097",265,245,652,722,547,691,514,305,140,16,0,"4,581","4,581",252,274,842,716,507,710,590,426,215,48,1
대구광역시 남구 대명6동,"10,318","10,318",450,584,"1,196","1,378","1,331","1,785","1,734","1,241",516,101,2,"4,931","4,931",232,302,562,748,655,859,797,561,183,31,1,"5,387","5,387",218,282,634,630,676,926,937,680,333,70,1
대구광역시 남구 대명9동,"13,027","13,027",307,698,"1,579","1,591","1,612","2,306","2,347","1,676",791,120,0,"6,286","6,286",170,361,751,850,821,"1,142","1,105",751,300,35,0,"6,741","6,741",137,337,828,741,791,"1,164","1,242",925,491,85,0
대구광역시 남구 대명10동,"7,811","7,811",142,319,914,888,818,"1,246","1,563","1,212",624,83,2,"3,616","3,616",70,180,416,478,407,622,689,516,217,21,0,"4,195","4,195",72,139,498,410,411,624,874,696,407,62,2
대구광역시 남구 대명11동,"7,137","7,137",136,283,612,726,744,"1,172","1,604","1,212",555,92,1,"3,301","3,301",59,147,316,409,371,586,703,492,199,19,0,"3,836","3,836",77,136,296,317,373,586,901,720,356,73,1
대구광역시 북구 고성동,"14,542","14,542","2,077","1,233","1,090","3,865","2,653","1,561","1,051",683,273,56,0,"7,184","7,184","1,057",625,519,"1,909","1,411",795,480,276,94,18,0,"7,358","7,358","1,020",608,571,"1,956","1,242",766,571,407,179,38,0
